Names,Group,Group Description,,Part 1,,,Part II,Exempt
(DD) Acetorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Acetyl-alpha-methyl- fentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Acetyldihydrocodeine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) AcetyImethadol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Alfentanil,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
(DD) Allylprodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) AlphacetyImethadol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Alphameprodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Alphamethadol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Alpha-methylfentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Alpha-methylthiofentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Alphaprodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Anileridine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Benzethidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Benzylmorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Beta-hydroxyfentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Beta-hydroxy-3 methylfentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Betacetylmethadol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Betameprodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Betaprodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Bezitramide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,,All preparations,,,
"(DD) 4-bromo-2, 5 dimethoxyphenylethyl amine (2C-B)",Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",All preparations,,,,,
"(DD) Cannabis, its resin, extracts and tinctures of; cannabin tannate",Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations except in corn paints,When contained in corn paints for external use only,,,
(DD) Clonitazene,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
"(DD) Coca, alkaloids of",Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",,Strengths of 0.1% and over calculated as cocaine,Strengths under 0.1% calculated as cocaine,,,
(DD) Cocaine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Codeine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Codoxime,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Desomorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dextromoramide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dextropropoxyphene,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Diampromide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Diethylthiambutene,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Difenoxin,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Dihydrocodeine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,,
(DD) Dihydroetorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dihydromorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dimenoxadol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dimepheptanol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dimethylthiambutene,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Dioxaphetylbutyrate,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Diphenoxylate,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Dipipanone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Drotebanol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Ecgonine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",Strengths of the equivalent of 1% or more of Ecgonine,Strengths less than the equivalent of 1% of Ecgonine,,,,
(DD) Ethylmethyl-thiambutene,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Ethylmorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Etonitazene,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Etorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Etoxeridine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Fentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
(DD) Furethidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Gamma hydroxybutyric Acid (GHB),Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",All preparations,,,,,
(DD) Heroin or diacetyl- Morphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Hydrocodone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Hydromorphinol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Hydromorphone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Hydroxypethidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Isomethadone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Ketamine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
(DD) Ketobemidone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Levomethorphan,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Levomoramide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Levophenacylmorphan,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Levorphanol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Metazocine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Methadone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
(DD) Methadone-Intermediate,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Methyldesorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Methyldihydromorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) 3- Methylfentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) 4-Methylthioampheta- mine (4-MTA),Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",All preparations,,,,,
(DD) 3- Methylthiofentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) 1- Methyl-4-phenyl-4- piperidinol propionate (MPPP),Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Metopon,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Moramide-Intermediate,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Morpheridine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Morphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,-,,,
"(DD) Morphine methobromide and other pentavalent nitrogen morphine derivatives, including in particular the morphine- N-oxide derivatives, one of which is Codeine-N- oxide",Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Morphine-N-oxide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Myrophine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Nicocodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Nicodicodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Nicomorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Noracymethadol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Norcodeine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Norlevorphanol,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Normethadone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Normorphine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Norpipanone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Opium,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,,
(DD) Oxycodone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
(DD) Oxymorphone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Para-flurofentanyl,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Pethidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
(DD) Pethidine-Intermediate A,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Pethidine-Intermediate B,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Pethidine-Intermediate C,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Phenadoxone,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Phenampromide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Phenazocine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) 1-Phenethyl-4-phenyl-4- piperidinol acetate (PEPAP),Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Phenomorphan,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Phenoperidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Pholcodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Piminodine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Piritramide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Proheptazine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Properidine,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Propiram,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,-,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,
(DD) Racemethorplan,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Racemoramide,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Racemorphan,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Remifentanil,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All preparations,,,,
(DD) Sufentanil,Narcotic substances,"Narcotic substances, the following: their isomers (whenever the existence of such isomers is possible within the specific chemical designation); their salts; their esters and ethers (whenever the existence of such esters or ethers is possible); the salts of their esters and ethers -",-,All products registered under the CDCR 1984,,,,
